Korps,Gasse
Kreisgüte,Gebaren
Kriterium,Gebilde
"Kutscher, fahr er zu! (pseudo-altertümelnd)",Gebrauchsanleitung
Lass gehen!,Gebrauchsanweisung
"Lass jucken, Kumpel!",Gefasstheit
Lass schnacken!,Geflecht
Lass was passieren!,Gefüge
Lebensabschnittsgefährtin,Gegebenheit
Lebensbejahung,Gegen...
Lebensgefährtin,Gegenargument
Lebenspartnerin,Gegend
Leg ma ne Schüppe Kohlen drauf!,Gegenstand
Leg mal 'nen Zahn zu!,Gegenstimme
Leib und Leben,Gegensätzlichkeit
Lernerfahrung,Gehalt
Liaison,Geisteshaltung
Lichtbild,Geld (für)
Liebenswürdigkeit,Geldleistung
Liebesbeziehung,Gemeinde
Liebesfreundschaft,Gemüts...
Liebhaber,Gentleman's Agreement
Liierung,Gentlemen's Agreement
Lobby,Geradlinigkeit
Lover,Gerippe
Lust (auf),Gerüst
Lösungsidee,Geschehen
Lücke,Geschehnis
Mach fix!,Geschwindigkeit
Mach hin!,Geschäft
Mach hinne!,Gesellschaftsschicht
"Mach voran! (Betonung auf 1. Silbe, norddt.)",Gesinnung
Mach zu!,Gestus
Mann ihres Herzens,Getragenheit
Mann und Frau (sein),Gewerbe
Manufakt,Gewerkschafter
Markenzeichen,Gewerkschaftler
Material,Gewerkschaftsmitglied
Maßgeblichkeit,Gewicht haben
Mentoring,Gewissen
Metrum,Gewissensbisse
Milde,Gewohnheit
Mildtätigkeit,Gier
Mitarbeit,Girl
Mithilfe,Gleichgestimmtheit
Mithilfe (bei),Gott behüte!
Motivation,Graben
Motivierung,Gradlinigkeit
Musik in jemandes Ohren (sein),Grammatik (einer Sprache)
Musiktherapeutisch,Grandezza
Mutmaßungen anstellen,Gravität
Mädchen für alles,Grenzen
Möglich,Grenzen überschreiten
Möglichkeit,Grenzsetzung
Möglichkeiten,Grund
Nabe,Grund- (z.B. Grundkenntnisse)
Nachfrage,Grundbedingung
Nahesein,Grundeinstellung
Neugier,Grundereignis
Neugierde,Grundriss
Neuner,Gruppe
Nexus,Guideline
